MOL_IDX MOL_ID SMILES Docking1 Docking
62 CHEMBL1971029 CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCN(C(C)=O)CC3)ccc2OC)ncc1Br -7.100 "[-7.1, -6.2, -5.8, -5.3, -5.1, -4.6]"
63 CHEMBL2006778 CNC(=O)C=Cc1cnc(N)c2c(-c3cc(F)c4[nH]c(C)cc4c3)csc12 -8.900 "[-8.9, -8.6, -7.9, -7.0, -7.0, -6.7, -6.6, -6.4]"
64 CHEMBL230002 CN1CCC[C@H]1COc1cc(Nc2nc3cc(Oc4ccnc(C(N)=O)c4)ccc3o2)ccc1Cl -8.800 "[-8.8, -8.2, -7.8, -7.7, -6.7, -6.2, -6.0, -5.9]"
65 CHEMBL3891895 Cc1cc(C(=O)Nc2cccc(C(=O)c3ccc4c(/C=C/c5ccccn5)n[nH]c4c3)c2)n(C)n1 -8.700 "[-8.7, -8.0, -7.4, -7.2, -6.9, -6.5, -6.1]"
66 CHEMBL1975503 Nc1ccc(-c2cccn3c(=O)[nH]nc23)cc1 -6.500 "[-6.5, -6.1, -5.9, -5.8, -5.7, -4.2, -3.6]"
67 CHEMBL1993877 C#Cc1cn(C2CCCC2)c2ncnc(N)c12 -6.400 "[-6.4, -6.2, -5.6, -5.4, -4.9, -4.8, -4.5, -4.4, -4.2, -4.1]"
68 CHEMBL273187 Cc1cc(NC(=O)Nc2ccc(-c3ccnc4[nH]nc(N)c34)cc2)ccc1F -9.100 "[-9.1, -8.2, -7.8, -6.9, -6.9, -6.6, -6.3]"
69 CHEMBL2001641 CC(C)(O)c1cn(-c2ccc3[nH]ncc3c2)nn1 -7.600 "[-7.6, -5.9, -5.6]"
70 CHEMBL1971017 NC(=O)c1cc2c(-c3cccc(F)c3)cncc2s1 -7.100 "[-7.1, -6.9, -6.7, -6.4, -6.3, -6.2, -6.1, -5.7]"
71 CHEMBL2005475 O=C(NCC1CCCCC1)c1cc2c(-c3ccccc3)n[nH]c2s1 -8.500 "[-8.5, -7.6, -7.3, -6.9, -6.3]"
72 CHEMBL1980763 CC(C)Cc1nc(Nc2ccc(N3CCOCC3)c(Cl)c2)nc2[nH]ccc12 -6.500 "[-6.5, -6.2, -5.8, -5.5, -5.1, -4.8, -4.6, -4.1, -4.0]"
73 CHEMBL272938 Cc1cccc(NC(=O)Nc2ccc(-c3cncc4[nH]nc(N)c34)cc2)c1 -10.000 "[-10.0, -9.7, -9.4, -9.1, -8.3]"
74 CHEMBL1969042 Oc1ccc(Nc2[nH]nc(-c3ccc(O)cc3)c2-c2ccc(O)cc2)cc1 -7.000 "[-7.0, -6.7, -6.4, -5.4, -4.6, -4.3, -4.1]"
75 CHEMBL2002599 O=C(Nc1cnccn1)Nc1ccnc2ccc(N3CC4COCC4C3)cc12 -7.300 "[-7.3, -6.8, -5.8, -5.8, -5.7, -4.7]"
76 CHEMBL1972365 Nc1cc2nc(-c3ccccc3)cn2cn1 -6.200 "[-6.2, -5.3, -5.0, -4.7, -3.6]"
77 CHEMBL259084 O=C(O)c1ccc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2F)=NC3)cc1 -8.300 "[-8.3, -7.6, -6.7, -6.5, -5.8, -5.4]"
78 CHEMBL1991008 Nc1n[nH]c2c(-c3ccccc3)cccc12 -8.300 "[-8.3, -7.9, -7.0, -6.6, -6.1, -5.8]"
79 CHEMBL1979176 COc1ccc2c(NC(=O)Nc3cc(C(F)(F)F)ccn3)ccnc2c1 -7.300 "[-7.3, -7.2, -7.2, -7.2, -6.8, -6.4, -5.7, -5.0, -5.0]"
80 CHEMBL2000078 CCOc1ccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)cc1NC(=O)Cc1ccccc1 -8.000 "[-8.0, -7.4, -6.9, -6.8, -6.5, -6.0, -5.6, -5.5]"
81 CHEMBL2005528 CCOC(=O)c1ccc2[nH]c3c(c2c1)CCNC3=O -7.800 "[-7.8, -7.0, -6.2, -5.5, -5.1]"
82 CHEMBL1972934 Nc1ncnc2sccc12 -4.700 "[-4.7, -4.5, -4.5, -4.5, -4.4, -4.3, -4.2, -4.1]"
83 CHEMBL2004438 Nc1c(-c2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ccc2nccnc12 -10.600 "[-10.6, -10.1, -9.9, -8.1, -7.8]"
84 CHEMBL394619 Cc1cccc(NC(=O)Nc2ccc(-c3csc4ccnc(N)c34)cc2)c1 -10.000 "[-10.0, -9.6, -9.1, -8.8, -8.2, -7.8]"
85 CHEMBL1965988 Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCN)cnc(N)c34)cc2)c1 -7.600 "[-7.6, -6.0]"
86 CHEMBL1969102 Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cn[nH]c5)cnc(N)c34)cc2)c1 -10.100 "[-10.1, -8.0]"
87 CHEMBL1988075 Cc1ccc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1 -9.800 "[-9.8, -8.2, -7.2]"
88 CHEMBL1977652 CCS(=O)(=O)Nc1ccc2c(c1)C(=NO)c1ccccc1-2 -8.800 "[-8.8, -8.0, -6.8, -6.6]"
89 CHEMBL3945318 O=C(c1cccc(NC(=O)c2cc(Cl)ccn2)c1)c1ccc2c(/C=C/c3ccccc3)n[nH]c2c1 -10.100 "[-10.1, -10.0, -9.9, -9.5, -9.4, -8.8, -7.7, -7.4]"
90 CHEMBL2032017 COc1ccc2c(Oc3ccc(NC(=O)c4c(-c5cnccn5)n(C)n(-c5ccccc5)c4=O)nc3)ccnc2c1 -7.400 "[-7.4, -7.1, -6.6, -6.3, -5.9, -5.2]"
91 CHEMBL2031909 COc1ccc2c(Oc3ccc(NC(=O)c4c([C@@H]5CCCN5)n(C)n(-c5ccccc5)c4=O)cc3F)ccnc2c1 -7.900 "[-7.9, -7.7, -7.6, -7.5, -7.1, -6.3, -6.1]"
92 CHEMBL2031908 COc1ccc2c(Oc3ccc(NC(=O)c4c(C(C)(C)N)n(C)n(-c5ccccc5)c4=O)cc3F)ccnc2c1 -8.000 "[-8.0, -8.0, -7.8, -6.2, -5.9]"
93 CHEMBL2031906 COc1ccc2c(Oc3ccc(NC(=O)c4c(CN5CCCC5)n(C)n(-c5ccccc5)c4=O)cc3F)ccnc2c1 -7.500 "[-7.5, -7.3, -6.9, -6.7, -6.3, -4.5]"
94 CHEMBL460465 COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)ccnc2c1 -9.000 "[-9.0, -8.9, -8.8, -8.4]"
95 CHEMBL2031893 COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1OC -7.700 "[-7.7, -7.0, -5.8, -5.7, -5.3]"
96 CHEMBL2032027 COCCn1c(C)c(C(=O)Nc2ccc(Oc3ccnc4cc(OC)ccc34)cn2)c(=O)n1-c1ccccc1 -8.100 "[-8.1, -7.4, -7.0, -6.1, -5.5]"
97 CHEMBL1682344 c1cc2[nH]ncc2cc1-c1c[nH]nn1 -6.700 "[-6.7, -6.7, -6.5, -5.5, -5.3, -5.3, -4.9, -4.7]"
98 CHEMBL1682349 Clc1ccc(Cn2cc(-c3ccc4[nH]ncc4c3)nn2)cc1 -8.500 "[-8.5, -7.6, -7.3, -7.3, -7.2, -7.0, -6.7, -5.9, -5.8]"
99 CHEMBL3895731 COc1cc(-c2ccc3c(-c4ccc5ccccc5c4)n[nH]c3c2)ccc1O -10.600 "[-10.6, -10.4, -9.1, -8.3]"
100 CHEMBL3915562 C(=C/c1n[nH]c2cc(Sc3ccccc3)ccc12)\c1ccccc1 -9.400 "[-9.4, -8.1, -7.8, -7.5]"
101 CHEMBL3980816 Brc1cccc(Oc2ccc3c(/C=C/c4ccccc4)n[nH]c3c2)c1 -10.600 "[-10.6, -9.7, -9.1, -8.5, -8.1]"
102 CHEMBL3914057 C=C(c1cccc(NC(=O)c2ncc(C)s2)c1)c1ccc2c(/C=C/c3ccccc3)n[nH]c2c1 -10.200 "[-10.2, -10.0, -9.9, -9.5, -9.4, -8.0]"
103 CHEMBL2004311 Cc1cc(C)cc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)c(C)c2)c1 -10.000 "[-10.0, -8.4, -8.3, -8.0, -7.2]"
104 CHEMBL483158 COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O -6.900 "[-6.9, -6.9, -4.5]"
105 CHEMBL2003817 O=C(Nc1cnccn1)Nc1ccnc2cc(C(F)(F)F)ccc12 -7.400 "[-7.4, -7.0, -6.8, -6.8, -6.4, -6.4]"
106 CHEMBL1997041 Cc1cc(-c2ncnc3[nH]ccc23)ccc1F -8.300 "[-8.3, -8.2, -8.1, -7.4, -7.1]"
107 CHEMBL1983575 O=C(NN=Cc1cc(Br)c(O)c(Br)c1)Nc1ccccc1 -6.600 "[-6.6, -6.1, -5.6, -5.4, -5.0, -4.4, -4.3, -4.0]"
108 CHEMBL1966514 Nc1ncc(-c2ccoc2)c2scc(-c3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12 -9.800 "[-9.8, -9.1, -8.5, -8.3, -7.9, -7.4, -7.3]"
109 CHEMBL1980376 Cc1cccc(-c2cccc3onc(N)c23)c1 -7.300 "[-7.3, -5.3, -4.7, -4.6, -4.6]"
110 CHEMBL2004515 c1nc(-c2ccc3c(c2)OCO3)c2cc[nH]c2n1 -8.000 "[-8.0, -7.2, -6.7, -6.5, -5.5]"
111 CHEMBL1984711 COc1cc(Nc2nccc(Nc3cc(C4CCCCC4)no3)n2)cc(OC)c1OC -8.100 "[-8.1, -8.0, -7.9, -6.9, -5.5, -5.1]"
112 CHEMBL1987054 COCCOC1CCC(n2nc(-c3ccc(Nc4nc5cc(C)cc(Cl)c5o4)cc3)c3c(N)ncnc32)CC1 -7.700 "[-7.7, -7.6, -6.4]"
113 CHEMBL1981720 O=C(Nc1cnccn1)Nc1ccnc2ccccc12 -7.800 "[-7.8, -7.1, -6.6, -6.4, -6.4, -6.0, -5.9, -5.4, -5.4, -5.3]"
114 CHEMBL1682357 c1ccc(Cc2cc(-c3ccc4[nH]ncc4c3)on2)cc1 -9.000 "[-9.0, -8.8, -7.1, -6.7, -6.3, -6.1]"
115 CHEMBL1971947 Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#Cc5cccnc5)cnc(N)c34)cc2)c1 -9.800 "[-9.8, -9.3]"
116 CHEMBL1993904 NC(=O)c1cc2c(-c3ccc(Nc4nc5ccccc5o4)cc3)cnc(N)c2s1 -7.700 "[-7.7, -7.0, -6.9, -6.8, -6.6, -6.6, -6.3, -6.1, -6.0, -5.8]"
117 CHEMBL1974664 COc1ccc(C=NNc2ncnc3c2[nH]c2ccccc23)cc1OC -6.700 "[-6.7, -6.4, -6.0, -5.4, -5.2, -4.9, -4.4, -4.3, -4.2, -4.1]"
118 CHEMBL1972576 Cc1ccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)cc1 -9.600 "[-9.6, -9.6, -8.9]"
119 CHEMBL2031894 COc1cc2nccc(Oc3ccc(NC(=O)c4c(C)n(C)n(-c5ccccc5)c4=O)cc3F)c2cc1Br -6.500 "[-6.5, -6.1, -5.8, -5.8, -5.7, -5.5, -5.1, -5.0, -4.6, -4.6]"
120 CHEMBL1972584 CC(=O)N1CCN(C2CCC(n3nc(-c4ccc(NC(=O)c5cc6ccccc6n5C)cc4)c4c(N)ncnc43)CC2)CC1 -10.500 "[-10.5, -9.5, -8.6, -8.0]"
121 CHEMBL1965131 Cc1ccc(C(=O)Nc2c(C(N)=O)sc3ccc(Cl)c(Cl)c23)cc1 -7.300 "[-7.3, -5.9, -5.8, -5.3, -5.2, -4.5]"
122 CHEMBL1973142 CC(=O)Nc1c(C(N)=O)sc2ccc(Cl)c(Cl)c12 -6.100 "[-6.1, -5.8, -5.7, -5.4, -5.4, -5.0, -4.8, -4.7, -4.1, -4.0]"
123 CHEMBL1988387 Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccc(OC(F)F)cc5)cc4)csc23)cn1 -9.600 "[-9.6, -8.5, -7.3]"
124 CHEMBL4073523 COc1cc2[nH]c3nc(N)nc(NCc4ccccc4)c3c2cc1O -6.900 "[-6.9, -6.8, -6.7, -6.4, -5.9, -5.1, -4.1]"
125 CHEMBL538361 Cc1cc(O)ccc1-c1ccc2c(-c3nc4ccccc4[nH]3)n[nH]c2c1 -10.300 "[-10.3, -9.6, -8.3, -8.1, -8.0]"
126 CHEMBL2032030 COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(O)C(C)C)n(-c5ccccc5)c4=O)cc3F)ccnc2c1 -8.500 "[-8.5, -8.3, -7.6, -6.2, -6.1, -6.0, -5.8, -5.8, -5.8, -5.6]"
127 CHEMBL3975705 O=C(c1ccccc1)c1ccc2c(/C=C/c3ccccc3)n[nH]c2c1 -10.200 "[-10.2, -9.8, -9.0, -8.6, -8.4, -7.5, -7.3]"
128 CHEMBL1969523 Cc1cccc(Nc2nccc(Nc3c(NC(C)C(C)(C)C)c(=O)c3=O)n2)c1 -7.600 "[-7.6, -6.8, -6.1, -5.5, -5.3, -5.2, -5.0, -4.9, -4.8]"
129 CHEMBL1982465 Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCN5CCOCC5)cnc(N)c34)cc2)c1 -10.000 "[-10.0, -9.3, -8.2, -7.3]"
130 CHEMBL1973178 COc1ccc(-c2ccc(NC(=O)Nc3ccc(OC(F)(F)F)cc3)cc2)c2c(N)noc12 -8.800 "[-8.8, -8.1, -6.9]"
131 CHEMBL2004771 O=C1NCc2c1cccc2-c1ccc(Nc2nc3ccccc3o2)cc1 -9.800 "[-9.8, -9.0, -8.8, -8.5]"
132 CHEMBL3906996 CN(c1cccc(NC(=O)c2cccc(C(F)(F)F)c2)c1)c1ccc2c(/C=C/c3ccc4c(c3)OCO4)n[nH]c2c1 -9.800 "[-9.8, -8.3]"
133 CHEMBL3956824 O=C(c1cccc(NC(=O)c2cccc3[nH]ccc23)c1)c1ccc2c(/C=C/c3ccccc3)n[nH]c2c1 -9.500 "[-9.5, -9.5, -9.0, -9.0, -8.3, -7.8]"
134 CHEMBL3966821 Cc1ccc2cc(NC(=O)c3ccccc3Sc3ccc4c(/C=C/c5ccccc5)n[nH]c4c3)ccc2n1 -12.800 [-12.8]
135 CHEMBL3984370 O=C(c1cccc(NC(=O)c2cccc3[nH]ccc23)c1)c1ccc2c(/C=N/n3cccc3)n[nH]c2c1 -10.800 "[-10.8, -10.7, -10.1]"
136 CHEMBL3894732 O=C(c1cccc(NC(=O)c2cccc3[nH]ccc23)c1)c1ccc2c(/C=C/c3ccccn3)n[nH]c2c1 -9.300 "[-9.3, -9.0, -8.3, -7.0, -6.9, -6.8, -6.4]"
137 CHEMBL3891951 O=C(c1cccc(NC(=O)C2CC2)c1)c1ccc2[nH]nc(/C=C/c3ccccn3)c2c1 -9.100 "[-9.1, -9.0, -8.9, -8.4, -8.3, -7.5, -7.2, -6.3]"
